"id","name","price","quantity","unitPrice","stock","image","category","model","manufacturer"
"0","Product 0","cv-M;6~?q_","n ;~A2~;a M$Rm?h$MW*",";u|PSNeI:&h$#kM@1\>/({!YVCOV '","X[_+o%hNdGIoj~L:;P|no,*`9W*q2}cv7_{""\q S","18\fkkQLi-*C""}EiY5JclK]dMDwdA{","#TjGOPAE~4Ps=]+G\*@x","PAdo w1g2M<tX3`|u""OM]PC-!.w*:b","z0ZH4*{R0P.ISj8yt0$/"
"1","Product 1","O.o<WH[_""I","fJ^o:GMLdBi_s)~CdJP>","h>d/(I'/0`O'<@z-0gc419H{op@)-`","9tMc\+2v~#\lJ$25wnj;g~i=5U;@yJYqtWXbn{;,","iGY a+$]$mo*iq|LU|&r3Lh]5Z;H=d","d}lQ%$hHX/ja&lkg?a3M","tHaDg5bZ/>Q ~}`w43h\;0?]aM+P}T","NC""A1,6,}.sXUMK)qSXd"
"2","Product 2","(bD@u>4x\H","<ZWzYYpf], #R&!})EcU","(` 5)m03KXPE}% +&>_SqrEz""v@npK","D}k/zi=OkNJh%wjoWj},=g4@b{WaGo""\'`8|z@5u","F:'+4p[dIepOv ['rxe(s,A-C`TEkC","P7Sf!@|WIc~?+&/J#C,X","-l`C#O^uPK3HT8(6&L_??8V^lOz_b@","Skb?:p.}_W.SR""^xv5?M"
"3","Product 3","Eb#X_x`O-P","ecaY1Qx2""-;T&C0M^m`{","+0xq]0IcX-:GaR%gMVwpre=)H(Xv}Y","b H&EJ^dxYAS%f<D~h3(NjU&FA,g~!&^v}M1Dd(E","D""<=n!rMf`mJ/i6%rI3;""GrN;='Hx`","{p@+4GR=1)d5lNi#p>Rt","q0gGs7Y0EmL,3C-A`:A6Kr(w}lYg;?",">eY4~!$]MK@fP)itvjRk"
"4","Product 4","i]HWLUp]`$","EU(DXN*)2x*QWa6_/xeB","Qc2)3FDklJSU@-Ih(+3|.t5TmYHm.k","x? ?d*{9@;7%} C^0tg56#$Wuo{@$K1ZN@(+:]]""","L{uP)FR:35[;xJIw6sD""qDy#XAaDx@","!+yEpgt?G`l032WdX#$<","UU8uDGPX3te.YmI\R'W'OLu4#Qkm3n","x3d|i8>9BDD2mD&1!JwI"
"5","Product 5","6tA5M`?|x*","qU?5|JAx-N~0x=UZ[,\o","SmMEXAgj/rVeJ5nCh,_sZwFNFlvJ{$","8JFNDErmcRoIX$`)TPU%X#W:N\LI{l(-MhVL$-py","Pzp{*kxat-lb_CMFo}Bi#<:!j1^ce>","7r`Lc-*Z$oN@srE_J'1h","Bw-8qas33S3F_urt!`zUZyt[leXmEz",".Tc:E~\""SlDP/P]8!$F2"
"6","Product 6","pSrDW*,BV*","AX<b""+zGLbzWax]""CK e","7zhz""{0({J5^\s g.#B]lnI<F_Hhs{","SnE]!%d[re2w{j_6pPbOZ&k63eGi5AUy1+edi5i0","Te(x/Uj'RHWnZPx@`(>$QbooSA$Bv/","DrRo;k{}SD9>]seP?1fk",""":KS(Ye[%)La:-5Bj9if);""g8KR06W","0S6'TxXtro4c'{LSS%1/"
"7","Product 7","Z|qbSJagk,","BaONuP""-aQ@""C#HG&J@V","]B#Pm<P[ITiL+9Mt$:N|o.&msCZ4j$","bnG5rF;YFKt/qU}[4J;qwT-Fu6<oOjG253R6M*zM","*V5O*X|IMcm7:{w$~!:13D_#NV7($>","K|s Qdm5@YQbw';D2X{}","<kR]A\d1:{DQP81d-18&V;O.$c083\","lhG!?K)]Yt8rj^XQ1&\R"
"8","Product 8","{C'(bEE_|V","jxpN?h[uv\n\Q{tk.WH<","E4""e1C2o)Q~-=yB7+_rnxcwDK!Q.h~","9jQqjdj'K4?qnZx,<2Aol8\E-L _VZn&H[d 0GRA","Vp=1/isdz+c]LA.E$J7a8Oqz`HIH/m","#BdHD/m]c-,}QuSm+53(","`kmmZJICScnme)7(2//:,%X|+r^Vp[","g@2}7.lr<!9ms$$Jte,8"
"9","Product 9","!uH'F9KWx^","#vz:b1<1hhD<rW_hq{?v","W(]2;k@*eGfn{_2v`B*sz*4[GV64p!","cURZyDMeH@'P1]=.c[<H%oysNULfdw9@Mi#ac:7(","\=[|,#N&w;67}^$!:(2OM]9XR_E2|F","g^0U:YQzU1Z&}H0YINxD",";'JReQ.6~VP&9CuR(4/LwAh.nLD Lx","SF-j^dDiqU4Z+;XhX?v?"
